Distribution,Mean (cm),HDI_Lower (cm),HDI_Upper (cm)
Female 5th Percentile,9.8,7.8,12.0
Female 50th Percentile,10.8,8.5,12.8
Female 95th Percentile,11.7,9.6,13.9
Male 5th Percentile,10.1,8.0,12.2
Male 50th Percentile,11.2,9.1,13.5
Male 95th Percentile,12.4,10.3,14.6
